COUNTRY,ConstructionClassDescription,ConstructionSchemeID,ConstructionClassCode
AU,Manufactured/Mobile Home without Tie-Downs,RMS,5A
AU,Manufactured/Mobile Home with Tie-Downs,RMS,5B
AU,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,RMS,6
AU,"Boats, Moored, Greater than 60 ft, Sail",RMS,60
AU,Floating Structure,RMS,61
AU,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,RMS,7
AU,Major Bridges (> 500 ft. spans),RMS,8
BE,Unknown,ATC,0
BE,Wood Frame,ATC,1
BE,Moment Steel Frame (Perimeter),ATC,10
BE,Moment Steel Frame (Distributed),ATC,11
BE,Ductile RC Frame (Distributed),ATC,12
BE,Non-Ductile RC Frame (Distributed),ATC,13
BE,Precast Concrete (Non Tilt-Up),ATC,14
BE,Long Span,ATC,15
BE,Tilt-Up,ATC,16
BE,Mobile Home,ATC,17
BE,Specially Engineered Facility,ATC,18
BE,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,ATC,19
BE,Light Metal,ATC,2
BE,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,ATC,20
BE,Major Bridges (> 500 ft. spans),ATC,21
BE,Pipelines - Underground,ATC,22
BE,Pipelines At Grade,ATC,23
BE,Concrete Dams,ATC,24
BE,Earthfill and Rockfill Dams,ATC,25
BE,Alluvium Tunnels,ATC,26
BE,Rock Tunnels,ATC,27
BE,Cut & Cover Tunnels,ATC,28
BE,Storage Tanks - Underground Liquid,ATC,29
BE,Unreinforced Masonry Wall,ATC,3
BE,Underground Solid Storage Tanks,ATC,30
BE,On Ground Liquid Storage Tanks,ATC,31
BE,On Ground Solid Storage Tanks,ATC,32
BE,Storage Tanks - Elevated Liquid,ATC,33
BE,Elevated Solid Storage Tanks,ATC,34
BE,Railroads (Track & Bed),ATC,35
BE,Highways,ATC,36
BE,Runways,ATC,37
BE,High Industrial Masonry Chimneys,ATC,38
BE,High Industrial Concrete Chimneys,ATC,39
BE,URM Wall with Frame,ATC,4
BE,High Industrial Steel Chimneys,ATC,40
BE,Cranes,ATC,41
BE,Conveyor Systems,ATC,42
BE,Transmission Towers (< 100 ft.),ATC,43
BE,Major (> 100 ft.) Electrical Transmission Line Towers,ATC,44
BE,Broadcast Towers,ATC,45
BE,Observation Towers,ATC,46
BE,Offshore Towers,ATC,47
BE,Canals,ATC,48
BE,Earth Retaining Structures (> 20 ft. high),ATC,49
BE,RC Shear Wall with Frame,ATC,5
BE,Waterfront Structures,ATC,50
BE,Residential Equipment,ATC,51
BE,Office Equipment,ATC,52
BE,Electrical Equipment,ATC,53
BE,Mechanical Equipment,ATC,54
BE,High Technology/Lab Equipment,ATC,55
BE,"Trains, Trucks, Airplanes",ATC,56
BE,RC Shear Wall without Frame,ATC,6
BE,RM Shear Wall,ATC,7
BE,RM Shear Wall with Frame,ATC,8
BE,Braced Steel Frame,ATC,9
BE,UNKNOWN,RMS,0
BE,WOOD,RMS,1
BE,Pipelines At Grade,RMS,10
BE,Concrete Dams,RMS,11
BE,Earthfill and Rockfill Dams,RMS,12
BE,Alluvium Tunnels,RMS,13
BE,Rock Tunnels,RMS,14
BE,Cut & Cover Tunnels,RMS,15
BE,Underground Liquid Storage Tanks,RMS,16
BE,Underground Solid Storage Tanks,RMS,17
BE,On Ground Liquid Storage Tanks,RMS,18
BE,On Ground Solid Storage Tanks,RMS,19
BE,Light Wood Frame,RMS,1A
BE,Light Wood Stud Walls,RMS,1A1
BE,Light Wood Post & Beam,RMS,1A2
BE,Heavy Timber,RMS,1B
BE,Heavy Timber Frame,RMS,1B1
BE,Heavy Timber Frame with Unreinforced Masonry Infill,RMS,1B2
BE,Wood Frame Tiled Roof,RMS,1C1
BE,Wood Frame Flat Roof,RMS,1C2
BE,Wood Frame Thatch Roof,RMS,1C3
BE,MASONRY,RMS,2
BE,Elevated Liquid Storage Tanks,RMS,20
BE,Elevated Solid Storage Tanks,RMS,21
BE,Railroad (Track and Bed),RMS,22
BE,Highways,RMS,23
BE,Runways,RMS,24
BE,High Industrial Masonry Chimneys,RMS,25
BE,High Industrial Concrete Chimneys,RMS,26
BE,High Industrial Steel Chimneys,RMS,27
BE,Cranes,RMS,28
BE,Conveyor Systems,RMS,29
BE,Weak Masonry,RMS,2A
BE,Rubble Stone Masonry,RMS,2A1
BE,Adobe,RMS,2A2
BE,Unreinforced Masonry,RMS,2B
BE,Unreinforced Cut Stone Masonry,RMS,2B1
BE,Unreinforced Solid Brick Masonry,RMS,2B2
BE,Unreinforced Concrete Block Masonry,RMS,2B3
BE,Structural Masonry,RMS,2C
BE,Reinforced Masonry,RMS,2C1
BE,Confined Masonry,RMS,2C2
BE,Masonry Steep Tiled Roof,RMS,2D1
BE,Masonry Low Slope Tiled Roof,RMS,2D2
BE,Masonry Flat Roof,RMS,2D3
BE,Masonry Thatch Roof,RMS,2D4
BE,REINFORCED CONCRETE,RMS,3
BE,Conventional (< 100 ft.) Electrical Transmission Line Towers,RMS,30
